symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AMD,2021-05-24 04:00:00+00:00,77.26,78.01,76.8,77.44,34299543.0,224849.0,77.496537
AMD,2021-05-25 04:00:00+00:00,77.33,78.77,76.8365,77.86,49437422.0,298070.0,77.771825
AMD,2021-05-26 04:00:00+00:00,77.83,78.59,77.59,78.34,31867844.0,213208.0,78.1692
AMD,2021-05-27 04:00:00+00:00,78.11,78.43,77.47,78.42,39894163.0,212276.0,78.070655
AMD,2021-05-28 04:00:00+00:00,78.66,81.09,78.66,80.08,42291720.0,294367.0,80.271537
AMD,2021-06-01 04:00:00+00:00,81.01,82.91,80.66,80.81,44522973.0,298479.0,81.559649
AMD,2021-06-02 04:00:00+00:00,80.83,82.6,80.66,81.97,36245189.0,249354.0,81.896969
AMD,2021-06-03 04:00:00+00:00,81.13,81.89,80.26,80.28,31013706.0,213998.0,80.909455
AMD,2021-06-04 04:00:00+00:00,80.92,82.19,80.81,81.58,27634047.0,184026.0,81.533974
AMD,2021-06-07 04:00:00+00:00,81.4,81.68,80.38,81.35,31821997.0,178936.0,81.13983
AMD,2021-06-08 04:00:00+00:00,81.87,82.645,80.45,80.89,27789680.0,178710.0,81.15075
AMD,2021-06-09 04:00:00+00:00,81.09,81.677,79.8,79.96,29952191.0,181696.0,80.305135
AMD,2021-06-10 04:00:00+00:00,80.02,81.71,79.7,81.56,29534562.0,192673.0,81.068018
AMD,2021-06-11 04:00:00+00:00,81.61,82.33,80.7,81.31,25360183.0,163639.0,81.313021
AMD,2021-06-14 04:00:00+00:00,81.51,81.55,80.2,81.55,28952914.0,182317.0,80.99934
AMD,2021-06-15 04:00:00+00:00,81.59,81.68,80.225,80.47,27230637.0,169518.0,80.835337
AMD,2021-06-16 04:00:00+00:00,80.75,81.45,78.96,80.11,30431883.0,225051.0,80.246602
AMD,2021-06-17 04:00:00+00:00,80.77,85.37,80.57,84.56,79328930.0,479303.0,83.707109
AMD,2021-06-18 04:00:00+00:00,84.28,85.77,83.48,84.65,63725697.0,344062.0,84.743384
AMD,2021-06-21 04:00:00+00:00,83.49,84.19,82.21,82.59,46607563.0,299858.0,82.716168
AMD,2021-06-22 04:00:00+00:00,82.9,84.04,82.48,83.58,33445566.0,216727.0,83.384788
AMD,2021-06-23 04:00:00+00:00,83.83,84.485,83.1603,83.82,26920570.0,171933.0,83.940191
AMD,2021-06-24 04:00:00+00:00,84.39,87.1399,84.365,86.1,43465676.0,285164.0,86.154342
AMD,2021-06-25 04:00:00+00:00,86.34,86.36,85.1,85.62,30006231.0,194032.0,85.674798
AMD,2021-06-28 04:00:00+00:00,86.38,88.0,86.15,87.08,31558116.0,222127.0,87.268933
AMD,2021-06-29 04:00:00+00:00,87.41,90.3,86.66,89.52,47378721.0,334467.0,89.30075
AMD,2021-06-30 04:00:00+00:00,90.82,94.335,90.6,93.93,73164377.0,494142.0,93.140071
AMD,2021-07-01 04:00:00+00:00,94.04,94.175,91.7,93.31,59738808.0,380814.0,93.068636
AMD,2021-07-02 04:00:00+00:00,93.28,95.27,92.205,94.7,52537285.0,322108.0,94.294398
AMD,2021-07-06 04:00:00+00:00,94.875,95.41,93.32,94.47,47369352.0,294218.0,94.36936
AMD,2021-07-07 04:00:00+00:00,95.02,95.44,90.31,90.54,52823295.0,366178.0,92.114692
AMD,2021-07-08 04:00:00+00:00,87.86,90.3399,87.45,89.74,47323068.0,348554.0,89.405134
AMD,2021-07-09 04:00:00+00:00,90.04,91.26,88.53,90.9,36773672.0,233895.0,90.223202
